Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
baseline/eval pure,8.052060111508482e-6,7.890028054765468e-6,8.268263561236676e-6,6.416192603845646e-7,4.852257998361178e-7,7.516508192147787e-7
baseline/eval (->),7.650519121295463e-6,7.636856592507957e-6,7.671387165749694e-6,5.598440581632081e-8,4.228419131668327e-8,8.28415903202637e-8
ConstT/ConstT¹,4.693656437849487e-6,4.6858181437932975e-6,4.724994033132929e-6,4.3656932857864715e-8,1.3866882386865722e-8,9.535062500756074e-8
ReaderT/ReaderT¹,7.641053934274614e-6,7.62784932724152e-6,7.664265574553e-6,5.8004316371638236e-8,3.905079648664988e-8,8.46608183139863e-8
StateT/StateT¹,1.3145604094845912e-5,1.3134042211391461e-5,1.3164841207040367e-5,5.0540089599033016e-8,3.521261912235878e-8,7.915042922150633e-8
WriterT/WriterT¹,1.2733559315320433e-5,1.2712760164285063e-5,1.279178449529264e-5,1.0355284823948238e-7,5.424545340525335e-8,2.058461757628852e-7
ErrorT/ErrorT¹,1.3890750300472437e-5,1.3822863334278266e-5,1.3961347861196917e-5,2.2574525229737657e-7,1.9164045553065476e-7,2.624937856245276e-7
ExceptT/ExceptT¹,1.4774436676716792e-5,1.4757787008035961e-5,1.4810298733103244e-5,8.284098540661016e-8,5.26011623719117e-8,1.308473150864258e-7
TerminatingT/TerminatingT¹,1.3572608001393506e-5,1.3562232648730492e-5,1.3593828453841241e-5,4.559190161160483e-8,2.9136122496247298e-8,7.953504054246101e-8
Stack/ConstT (ReaderT (StateT (ExceptT (ErrorT (TerminatingT (->)))))),2.3544478209167828e-5,2.3519815806032452e-5,2.3574253143653244e-5,9.087670214602848e-8,7.428278846468478e-8,1.1615357489531642e-7
