Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
baseline/eval pure,7.77578200511727e-6,7.743031919972897e-6,7.816731981734976e-6,1.193907493762414e-7,9.531568962063905e-8,1.7410377906434698e-7
baseline/eval (->),7.729608206551535e-6,7.721149298036466e-6,7.741892892490117e-6,3.339129184281354e-8,2.4186433572387925e-8,4.734489955576898e-8
ConstT/ConstT¹,4.680482947774257e-6,4.6745628647647124e-6,4.691372488933741e-6,2.636726113042461e-8,1.5494920104051352e-8,3.877124308910745e-8
ReaderT/ReaderT¹,7.747528278940962e-6,7.734648982298424e-6,7.766692456630504e-6,4.9675152002704955e-8,3.6007887973846466e-8,7.126688672903081e-8
StateT/StateT¹,1.3347362780215763e-5,1.3302975161449912e-5,1.3399160744840971e-5,1.5670916233406454e-7,1.3245658803005076e-7,1.9137605335810236e-7
WriterT/WriterT¹,1.2612131386890624e-5,1.2605855938991609e-5,1.2624766605486911e-5,2.8893858487713906e-8,1.6863972234387667e-8,5.0403920090267964e-8
ErrorT/ErrorT¹,1.4140306067390321e-5,1.4078628615964202e-5,1.4218141867768967e-5,2.4228004584159174e-7,1.7110863364719227e-7,4.287597906487323e-7
ExceptT/ExceptT¹,1.4988734884824993e-5,1.497603816734233e-5,1.5017029316862091e-5,6.061325841871262e-8,3.525613819348384e-8,1.0549220584675662e-7
TerminatingT/TerminatingT¹,1.4045856053658975e-5,1.4034414262427347e-5,1.4069164768796286e-5,5.29145165412367e-8,3.257579803370762e-8,8.717006884970329e-8
Stack/ConstT (ReaderT (StateT (ExceptT (ErrorT (TerminatingT (->)))))),2.3949376514323487e-5,2.386946712144381e-5,2.4030344721764675e-5,2.7350548658776733e-7,2.4362387186367743e-7,3.0144489321883154e-7
