Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
baseline/eval pure,2.2434519047776313e-4,2.2373797651086834e-4,2.2506358616225557e-4,2.2024722774719674e-6,1.74269971766336e-6,2.5630930271616845e-6
baseline/eval (->),2.2727658369504225e-4,2.2707255518428343e-4,2.275388063463749e-4,7.579176959473728e-7,5.996611960562388e-7,1.05788113454636e-6
ConstT/ConstT¹,2.329222535968954e-4,2.3268924852498906e-4,2.333309833505314e-4,1.1214139206754777e-6,7.541932288516382e-7,1.853372658069577e-6
ReaderT/ReaderT¹,8.998514798124712e-4,8.957717742291384e-4,9.113751881424628e-4,2.1965338265652333e-5,8.783498919961023e-6,4.362701461058635e-5
StateT/StateT¹,4.334231655190936e-4,4.285193413668912e-4,4.457735942843534e-4,2.2650043065394216e-5,4.019018367726292e-6,3.925751347470531e-5
WriterT/WriterT¹,1.4891168888651978e-3,1.482821668866538e-3,1.4949777219020243e-3,2.0596157705876357e-5,1.655730080246799e-5,2.730808697339604e-5
ErrorT/ErrorT¹,6.567267885194517e-4,6.548222355290227e-4,6.595698580024817e-4,7.730187818510543e-6,6.0769881903986715e-6,1.0582141553715177e-5
ExceptT/ExceptT¹,8.196067535906695e-4,8.185487441892549e-4,8.213293829315922e-4,4.561005205998877e-6,3.0086604793137977e-6,6.85103840176036e-6
TerminatingT/TerminatingT¹,4.922953019874253e-4,4.915949907711907e-4,4.933571492508917e-4,2.8563666491361643e-6,2.018983470105733e-6,4.094092309451223e-6
Stack/ConstT (ReaderT (StateT (ExceptT (ErrorT (TerminatingT (->)))))),5.831499219854591e-2,5.812990550700702e-2,5.851279586321259e-2,3.52720788015274e-4,2.7134910537051276e-4,4.941317906970148e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
baseline/eval pure,2.2207544302843926e-4,2.219494724902488e-4,2.222587537040969e-4,5.188084119471893e-7,3.776060893635424e-7,7.244166701508263e-7
baseline/eval (->),2.2538350018235453e-4,2.250992837123816e-4,2.2587278752187828e-4,1.2163196799930329e-6,8.109099245609585e-7,1.8019285797662968e-6
ConstT/ConstT¹,2.6125911202029095e-4,2.5537063037854655e-4,2.6726849387735484e-4,2.1396425227593798e-5,1.979608743790046e-5,2.2716619101638838e-5
ReaderT/ReaderT¹,9.06569863580469e-4,9.024570269932264e-4,9.176554697621058e-4,2.266819271543289e-5,7.776798014002675e-6,4.170335523453968e-5
StateT/StateT¹,4.351253221739855e-4,4.3297603550065353e-4,4.4076386926856397e-4,1.0770785412885635e-5,5.322526640680834e-6,1.9679546770891735e-5
WriterT/WriterT¹,1.5061280767762865e-3,1.4994032846854953e-3,1.5171894262372724e-3,2.9942904320127858e-5,2.0041490917405485e-5,4.948094238980455e-5
ErrorT/ErrorT¹,6.642346200191329e-4,6.610927819569283e-4,6.743833721085938e-4,1.6491389389489255e-5,5.506627290125001e-6,3.1833079944961395e-5
ExceptT/ExceptT¹,8.272266390894347e-4,8.239656144446652e-4,8.36897491869429e-4,1.749067770596504e-5,7.253130120730896e-6,3.602994333499473e-5
TerminatingT/TerminatingT¹,5.152447428927154e-4,5.062793414081987e-4,5.294237136905168e-4,3.5226536442843046e-5,2.709434771574705e-5,4.145690459354295e-5
Stack/ConstT (ReaderT (StateT (ExceptT (ErrorT (TerminatingT (->)))))),5.984996199564191e-2,5.951873710050345e-2,6.059909592689264e-2,9.244852214001535e-4,3.4408346876323983e-4,1.5856406802914023e-3
