Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
baseline/eval pure,2.220527979276866e-4,2.2149942944408538e-4,2.227688507533782e-4,2.183770555609414e-6,1.817647948389351e-6,2.5143200611307095e-6
baseline/eval (->),2.2483972271313929e-4,2.2441125927148413e-4,2.2536609723232995e-4,1.6179841567653363e-6,1.2210338338526855e-6,2.118869141859925e-6
ConstT/ConstT¹,2.326204347270981e-4,2.323353065787837e-4,2.3312295718482714e-4,1.2158285111991079e-6,9.244816323545593e-7,1.6734255875541545e-6
ReaderT/ReaderT¹,8.739245834919535e-4,8.713858057316014e-4,8.792808862417858e-4,1.1638609933706163e-5,5.5708995049265424e-6,2.1697593350917867e-5
StateT/StateT¹,4.328156039204118e-4,4.3132440583170767e-4,4.36502995421721e-4,7.652937011829837e-6,4.014570469620599e-6,1.5018847965400483e-5
WriterT/WriterT¹,1.490167491746488e-3,1.482811010162012e-3,1.498267696349516e-3,2.554577349852744e-5,2.0796121384997477e-5,3.4024780852660985e-5
ErrorT/ErrorT¹,6.640205229898105e-4,6.588324994328402e-4,6.766828385570785e-4,2.529030773101047e-5,1.3430383610815251e-5,4.435697245797312e-5
ExceptT/ExceptT¹,8.037251282316017e-4,8.010196671148264e-4,8.063805068115533e-4,8.95879137834194e-6,8.047514952953208e-6,1.0054591360980984e-5
TerminatingT/TerminatingT¹,5.017281800658606e-4,4.998164730780006e-4,5.061641034526364e-4,8.818104616547178e-6,5.772413367845213e-6,1.5764459472648053e-5
Stack/ConstT (ReaderT (StateT (ExceptT (ErrorT (TerminatingT (->)))))),9.195231573791669e-3,9.176719685785293e-3,9.225381513869039e-3,6.433233022940947e-5,4.708381381058681e-5,9.524602073417992e-5
